Source,Target
20352,2252
20352,421
257445,767
257445,671
257445,674
257445,37933
257445,673
257344,251516
257344,333339
257344,603
257344,604
257344,27205
445571,275
445571,270487
445571,473149
445571,11974
445571,425591
585,62211
585,275
585,1124
585,55721
585,339404
425,49519
425,10567
425,17610
425,387592
425,278154
224141,10882
224141,808
224141,809
224141,11224
224141,150689
370567,1934
370567,91745
370567,10705
370567,10688
370567,297708
2062,6283
2062,10009
2062,308531
2062,10199
2062,10137
254470,114150
254470,354912
254470,290762
254470,6477
254470,786
608,607
608,601
608,840
608,395
608,817
260514,335797
260514,258509
260514,9986
260514,9598
260514,9447
62177,10144
62177,10693
62177,10895
62177,109445
62177,10882
41630,55721
41630,862
41630,13
41630,200727
41630,290762
310,604
310,311
310,6557
310,59678
310,5876
227159,8067
227159,10694
227159,483
227159,562
227159,1571
418827,53932
418827,10068
418827,345
418827,2124
418827,405817
106646,261023
106646,4771
106646,479
106646,769
106646,398181
387592,425
387592,49519
387592,278154
387592,11770
387592,22881
9880,449176
9880,286565
9880,272693
9880,50479
9880,308369
339846,11836
339846,152747
339846,205775
339846,228165
339846,2756
364689,920
364689,6477
364689,9986
364689,25475
364689,82703
384677,769
384677,2291
384677,18487
384677,7859
384677,968
489929,812
489929,2118
489929,238
489929,240
489929,272
503619,402897
503619,14
503619,419430
503619,11974
503619,935
62764,58595
62764,290595
62764,672
62764,673
62764,674
454992,691
454992,646
454992,660
454992,954
454992,206647
10193,10895
10193,862
10193,38757
10193,72105
10193,214756
35,13
35,122906
35,5915
35,398818
35,342878
446894,8989
446894,487283
446894,413644
446894,14220
446894,38006
452731,370663
452731,258480
452731,39781
452731,437557
452731,10818
45243,18785
45243,20289
45243,339692
45243,627
45243,429733
11631,437557
11631,382591
11631,2539
11631,109445
11631,65218
13053,9325
13053,10948
13053,11886
13053,927
13053,2698
218746,52449
218746,400928
218746,1791
218746,810
218746,194
193893,4771
193893,473149
193893,14043
193893,86838
193893,75780
76492,159824
76492,766
76492,9479
76492,671
76492,672
350,65754
350,8966
350,600
350,44826
350,9880
9502,140300
9502,278927
9502,24
9502,604
9502,605
271718,378018
271718,8363
271718,195589
271718,179144
271718,510
809,808
809,10882
809,810
809,150689
809,10140
19913,50544
19913,862
19913,38
19913,398818
19913,23949
429733,15069
429733,357096
429733,96
429733,146198
429733,445954
496704,124905
496704,7191
496704,268896
496704,15766
496704,10973
43074,4011
43074,620
43074,91586
43074,416234
43074,201085
11130,400617
11130,4974
11130,82695
11130,16642
11130,87567
339404,585
339404,272
339404,1124
339404,16314
339404,862
390043,249070
390043,245891
390043,1538
390043,2502
390043,682
200727,51828
200727,449176
200727,281957
200727,417678
200727,11121
818,817
818,955
818,9654
818,608
818,238713
37735,14671
37735,37725
37735,9880
37735,449176
37735,121875
57800,425
57800,17610
57800,30505
57800,10567
57800,18905
82693,286565
82693,417678
82693,14313
82693,272693
82693,109689
82702,10191
82702,10054
82702,277216
82702,6637
82702,425
14160,9479
14160,3933
14160,326359
14160,32085
14160,145316
223702,8363
223702,195589
223702,179144
223702,12593
223702,9986
195589,179144
195589,325133
195589,8363
195589,376659
195589,17899
8355,329
8355,351286
8355,105864
8355,12144
8355,15997
10555,62177
10555,127380
10555,109445
10555,578
10555,297762
118,252
118,9880
118,34584
118,10830
118,12155
4327,140300
4327,11841
4327,9461
4327,146
4327,9502
256961,324668
256961,298
256961,524
256961,11078
256961,3179
77338,290762
77338,862
77338,13
77338,19913
77338,41630
127380,9479
127380,12
127380,920
127380,38055
127380,10555
340022,562
340022,1571
340022,2502
340022,8961
340022,1572
502682,451480
502682,5951
502682,448514
502682,125255
228967,954
228967,955
228967,146216
228967,254904
228967,47964
920,128
920,11006
920,127380
920,364689
920,6477
2976,6477
2976,313369
2976,86829
2976,630
2976,4688
196867,11224
196867,15157
196867,9325
196867,150689
196867,224141
463053,364689
463053,140
463053,1902
463053,2750
463053,9429
4247,429733
4247,17899
4247,238636
4247,398181
4247,339692
391713,84892
391713,376867
391713,398818
391713,9813
391713,273153
400579,277216
400579,2758
400579,433
400579,10054
400579,380
747,170
747,19908
747,1562
747,72190
747,485415
225886,87567
225886,290762
225886,38
225886,400617
225886,49519
22970,460885
22970,17609
22970,11298
22970,98568
22970,298584
399796,325133
399796,49519
399796,114150
399796,8277
399796,12620
399170,949
399170,9654
399170,336004
399170,298
399170,59
122906,13
122906,141
122906,72105
122906,118
122906,290762
324852,93456
324852,16314
324852,10140
324852,36819
324852,20352
120467,539
120467,311
120467,132344
120467,97630
120467,843
209244,425
209244,6283
209244,49519
209244,637
209244,93456
71552,843
71552,1440
71552,14
71552,787
71552,112160
511785,449176
511785,400547
511785,11000
511785,184352
511785,376867
18240,9813
18240,5915
18240,11631
18240,437557
18240,35
462883,10996
462883,133931
462883,46195
462883,172385
462883,283366
72105,862
72105,24420
72105,1024
72105,19913
72105,290762
487702,272693
487702,10625
487702,19840
487702,37725
487702,9880
37834,954
37834,2502
37834,9654
37834,9737
37834,646
10735,634
10735,9813
10735,437557
10735,8272
10735,20
268531,52449
268531,400928
268531,346364
268531,406997
268531,862
8363,17899
8363,15037
8363,11887
8363,193893
8363,449176
2770,17899
2770,8363
2770,179144
2770,11129
2770,4247
238713,954
238713,691
238713,818
238713,955
238713,27576
6477,920
6477,10191
6477,364689
6477,2976
6477,290762
7443,1368
7443,708
7443,107846
7443,1701
7443,1635
38055,787
38055,809
38055,9806
38055,127380
38055,1927
13374,449176
13374,9472
13374,18126
13374,585
13374,1124
301337,604
301337,605
301337,335984
301337,500664
301337,9739
9023,326359
9023,13933
9023,145316
9023,61549
9023,504492
4638,4771
4638,984
4638,1949
4638,1696
4638,75780
4256,40264
4256,5060
4256,4258
4256,3034
4256,957
950,425
950,7840
950,435
950,387893
454283,16314
454283,1562
454283,105
454283,68718
454283,44943
138832,4771
138832,339692
138832,429733
138832,398181
138832,273481
49519,425
49519,387592
49519,12429
49519,98
49519,8392
381341,1024
381341,24420
381341,290762
381341,1259
381341,276
425980,402897
425980,96936
425980,14
425980,419430
425980,11974
353616,254470
353616,114150
353616,354912
353616,335797
353616,1665
9522,6557
9522,712
9522,252838
9522,24
9522,11006
518452,273153
518452,39781
518452,370663
518452,11631
518452,437557
290762,370663
290762,810
290762,13
290762,38
290762,11224
59436,8966
59436,333339
59436,673
59436,12155
59436,10140
9928,198184
9928,2048
9928,157336
9928,87101
9928,605
7512,263115
7512,149
7512,157350
7512,2048
7512,604
502422,157336
502422,10144
502422,21385
502422,31135
502422,326359
114150,254470
114150,55721
114150,290762
114150,6477
114150,460019
375107,9598
375107,10715
375107,11571
375107,453191
375107,10658
100042,290762
100042,862
100042,920
100042,13
100042,11006
18360,1593
18360,863
18360,38055
18360,44826
18360,181533
507143,272693
507143,10625
507143,19840
507143,89185
507143,37725
211672,366141
211672,20352
211672,93456
211672,324852
211672,366142
10527,8393
10527,9732
10527,9904
10527,11430
10527,184346
4258,957
4258,3034
4258,926
4258,808
4258,813
9472,13374
9472,9955
9472,312221
9472,348893
9472,11770
634,10735
634,1581
634,258480
634,20
634,668
88751,351286
88751,11571
88751,12155
88751,10140
88751,671
337170,8961
337170,146216
337170,254904
337170,137094
337170,813
433310,41154
433310,206487
433310,673
433310,141
433310,105
1593,351286
1593,181533
1593,135397
1593,105864
1593,12144
278154,425
278154,17610
278154,49519
278154,387592
278154,18905
109439,18785
109439,45243
109439,8859
109439,981
109439,87502
413857,357096
413857,15069
413857,133805
413857,10781
413857,238636
787,249070
787,101
787,682
787,6637
787,253
140300,9502
140300,808
140300,10140
140300,604
140300,809
417830,49519
417830,8392
417830,12429
417830,93456
417830,225886
107985,14161
107985,274855
107985,475210
107985,109414
107985,18
342473,10545
342473,20352
342473,9325
342473,11224
342473,196867
412988,927
412988,11899
412988,11176
412988,14900
412988,10895
39513,602
39513,840
39513,49849
39513,20424
39513,228161
136799,122
136799,109445
136799,32685
136799,35614
136799,60304
11024,124905
11024,10528
11024,293167
11024,268896
11024,290250
382591,433
382591,10330
382591,11631
382591,277216
382591,118
50544,1903
50544,862
50544,38
50544,19913
50544,290762
9352,8363
9352,17899
9352,13078
9352,19053
9352,9880
376660,76726
376660,378064
376660,19458
376660,13342
376660,11887
82654,72190
82654,294254
82654,336843
82654,19908
82654,157350
431530,11395
431530,13673
431530,8871
431530,10872
431530,11881
1493,315837
1493,11081
1493,4723
1493,4349
1493,2320
9982,228161
9982,602
9982,348
9982,601
9982,607
253235,101
253235,9880
253235,454619
253235,445571
253235,82693
116149,10140
116149,278927
116149,34584
116149,281957
116149,9880
436931,81
436931,14069
436931,12429
436931,4935
436931,128
64688,193893
64688,75780
64688,359412
64688,96
64688,90
50022,4771
50022,26390
50022,11423
50022,15069
50022,193893
11688,810
11688,10144
11688,809
11688,150689
11688,10882
8920,3049
8920,4978
8920,15370
8920,86130
8920,9513
187017,272693
187017,10625
187017,19840
187017,37725
187017,9880
116745,403119
116745,1907
116745,578
116745,579
116745,438970
9339,1597
9339,924
9339,82703
9339,264644
9339,10353
171274,1949
171274,8966
171274,769
171274,10734
171274,9880
27022,808
27022,34584
27022,11527
27022,10140
27022,10191
44896,324668
44896,298
44896,524
44896,11358
44896,451
49524,9654
49524,44147
49524,75780
49524,357096
49524,210577
267193,818
267193,954
267193,36669
267193,27576
267193,353081
41154,602
41154,348
41154,126889
41154,840
41154,49849
138697,4995
138697,4247
138697,249397
138697,106646
138697,122081
49013,920
49013,270946
49013,77950
49013,9502
49013,3170
371638,8966
371638,769
371638,10734
371638,424
371638,9880
38319,10882
38319,808
38319,809
38319,37430
38319,10140
1597,9339
1597,65057
1597,11846
1597,1979
1597,170
22705,14174
22705,27066
22705,55580
22705,50124
22705,2770
10661,612
10661,433627
10661,399248
10661,8850
10661,8885
9471,646
9471,954
9471,253
9471,708
9471,657
1584,89185
1584,11887
1584,9880
1584,449176
1584,2108
51540,398181
51540,557
51540,45269
51540,340837
51540,7485
50646,8390
50646,12556
50646,111969
50646,8944
50646,1656
210860,101299
210860,336843
210860,281957
210860,12155
210860,671
19908,336843
19908,82654
19908,170
19908,1562
19908,72190
252838,712
252838,6557
252838,193893
252838,24
252838,9522
8961,306
8961,96
8961,9679
8961,2502
8961,9737
112160,14
112160,449176
112160,117486
112160,53932
112160,17130
318846,106646
318846,769
318846,5915
318846,424
318846,399404
58233,646
58233,954
58233,660
58233,691
58233,818
8699,109443
8699,358761
452030,10882
452030,11224
452030,224141
452030,5393
452030,808
6957,10995
6957,41280
6957,112160
6957,27088
6957,1278
378236,416494
378236,543631
378236,339988
378236,328387
378236,411741
10501,12227
10501,38757
10501,34584
10501,196
10501,652
55721,41630
55721,114150
55721,585
55721,19913
55721,454992
38365,290762
38365,585
38365,862
38365,13
38365,19913
10591,272693
10591,10625
10591,37725
10591,9880
10591,449176
11887,10947
11887,13649
11887,308369
11887,2105
11887,449176
364433,141052
364433,1452
364433,155
364433,49521
364433,1924
10201,8467
10201,59861
10201,65851
10201,9448
10201,26275
325133,17899
325133,195589
325133,179144
325133,19053
325133,12620
424781,378018
424781,341006
424781,434873
424781,769
424781,381288
8273,10330
8273,6557
8273,10054
8273,425
8273,712
65057,1597
65057,11846
65057,12634
65057,3309
65057,352501
22538,359784
22538,16129
22538,9958
22538,42542
22538,49332
262391,381284
262391,2062
262391,13
262391,35
262391,350
22620,12230
22620,387592
22620,445571
22620,399174
22620,87
9870,652
9870,271718
9870,65057
9870,676
9870,179144
264999,100042
264999,468
264999,11006
264999,77338
264999,920
10192,808
10192,809
10192,810
10192,10882
10192,14442
452773,121734
452773,12230
452773,14306
452773,11982
452773,11674
257211,39781
257211,370663
257211,273153
257211,258480
257211,20770
7453,299687
7453,336843
7453,101299
7453,44826
7453,46529
515841,300667
515841,65229
515841,366696
515841,329829
515841,224972
22794,1593
22794,2062
22794,411
22794,105
22794,181533
46195,172385
46195,9325
46195,278927
46195,15969
46195,14873
26715,18238
26715,434873
26715,277432
26715,430043
26715,29833
43593,14372
43593,83
43593,2756
43593,660
43593,36670
137106,1924
137106,1452
137106,8536
137106,9738
137106,141052
416186,1675
416186,160
416186,28968
416186,125336
416186,68627
506407,370663
506407,258480
506407,39781
506407,437557
506407,10818
413644,116711
413644,10140
413644,270946
413644,6477
413644,557
503314,1891
503314,1894
503314,330459
503314,1892
503314,11
87567,150117
87567,225886
87567,290762
87567,8390
87567,49524
6557,254470
6557,290762
6557,35690
6557,38073
6557,1949
487063,200133
487063,416477
487063,812
487063,270946
487063,49013
810,809
810,10191
810,808
810,71805
810,10882
11397,15144
11397,9880
11397,40264
11397,272693
11397,11355
6038,281957
6038,357096
6038,45569
6038,4638
6038,44147
508,1581
508,6637
508,634
508,7461
508,9310
7446,258489
7446,14
7446,856
7446,96936
7446,509
346648,411
346648,278927
346648,2454
346648,281957
346648,12155
1824,1903
1824,77
1824,38
1824,346685
1824,72570
290250,2275
290250,4771
290250,807
290250,171274
290250,395990
16996,272693
16996,10625
16996,37725
16996,9880
16996,449176
13971,121875
13971,8363
13971,2108
13971,810
13971,11887
399725,449176
399725,184352
399725,26280
399725,11000
399725,338189
86838,193893
86838,398175
86838,281
86838,10651
86838,769
347201,81
347201,14069
347201,12429
347201,4935
347201,128
188222,862
188222,270487
188222,179144
188222,68718
188222,627
9726,13996
9726,44941
9726,10239
9726,413441
9726,307974
